Sex;Age;Population;Death;HunPopulation
Mindösszesen;Mindösszesen;44276704;21;8594838
Mindösszesen;12-17;2076259;0;591798,5
Mindösszesen;18-29;7415068;4;1328008
Mindösszesen;30-39;6313754;6;1252889
Mindösszesen;40-49;7706804;2;1582045,5
Mindösszesen;50-59;8361166;0;1259733,5
Mindösszesen;60-69;6913088;5;1255371
Mindösszesen;70-;5490565;4;1324992,5
Férfi;Mindösszesen;22157877;12;4081468,5
Férfi;12-17;1171550;0;303800,5
Férfi;18-29;3920277;2;684765
Férfi;30-39;3381709;3;643892,5
Férfi;40-49;3954215;2;799924,5
Férfi;50-59;4245958;0;617596
Férfi;60-69;3297193;3;555870,5
Férfi;70-;2186975;2;475619,5
Nő;Mindösszesen;22118827;9;4513369,5
Nő;12-17;1105176;0;287998
Nő;18-29;3544543;2;643243
Nő;30-39;2977337;3;608996,5
Nő;40-49;3797674;0;782121
Nő;50-59;4173776;0;642137,5
Nő;60-69;3431287;2;699500,5
Nő;70-;3089034;2;849373
